datetime,price_EUR_per_MWh,nuclear_MW,non_renewable_MW,renewable_MW
2025-01-12 01:00:00,97.77,2973.698644295704,462.5,462.5
2025-01-12 02:00:00,94.34,2974.699694139269,462.5,462.5
2025-01-12 03:00:00,91.41,2974.6196101517835,462.5,462.5
2025-01-12 04:00:00,90.96,2975.150166568873,462.5,462.5
2025-01-12 05:00:00,93.3,2973.5685078160404,462.5,462.5
2025-01-12 06:00:00,99.43,2973.5484868191693,462.5,462.5
2025-01-12 07:00:00,103.31,2973.1180353864365,462.5,462.5
2025-01-12 08:00:00,114.14,2974.569557659605,462.5,462.5
2025-01-12 09:00:00,119.01,2975.8008489671893,462.5,462.5
2025-01-12 10:00:00,116.61,2974.069032737823,462.5,462.5
2025-01-12 11:00:00,110.0,2972.897804420853,462.5,462.5
2025-01-12 12:00:00,107.24,2971.84670208511,462.5,462.5
2025-01-12 13:00:00,106.35,2972.016880558516,462.5,462.5
2025-01-12 14:00:00,109.59,2971.0458622102583,462.5,462.5
2025-01-12 15:00:00,120.94,2971.246072178971,462.5,462.5
2025-01-12 16:00:00,130.55,2969.4942349527337,462.5,462.5
2025-01-12 17:00:00,137.2,2969.143867507486,462.5,462.5
2025-01-12 18:00:00,143.64,2968.963678535644,462.5,462.5
2025-01-12 19:00:00,140.9,2969.243972491842,462.5,462.5
2025-01-12 20:00:00,133.37,2970.014780871387,462.5,462.5
2025-01-12 21:00:00,126.23,2969.3140459808915,462.5,462.5
2025-01-12 22:00:00,122.4,2970.965778222773,462.5,462.5
2025-01-12 23:00:00,117.28,2971.5664081289115,462.5,462.5
2025-01-13 00:00:00,114.31,2972.6175104646545,462.5,462.5
2025-01-13 01:00:00,110.64,2972.747646944318,462.5,462.5
2025-01-13 02:00:00,107.01,2971.646492116397,462.5,462.5
2025-01-13 03:00:00,105.52,2972.2170905272287,462.5,462.5
2025-01-13 04:00:00,105.07,2970.915725730595,462.5,462.5
2025-01-13 05:00:00,115.85,2969.113836012179,462.5,462.5
2025-01-13 06:00:00,140.29,2969.7144659183173,462.5,462.5
2025-01-13 07:00:00,165.47,2968.1928701561,462.5,462.5
2025-01-13 08:00:00,185.05,2968.413101121684,462.5,462.5
2025-01-13 09:00:00,157.3,2968.2629436451493,462.5,462.5
2025-01-13 10:00:00,140.67,2973.468402831684,462.5,462.5
2025-01-13 11:00:00,130.1,2967.9926601873867,462.5,462.5
2025-01-13 12:00:00,122.99,2967.842502710852,462.5,462.5
2025-01-13 13:00:00,121.1,2967.091715328179,462.5,462.5
2025-01-13 14:00:00,124.4,2966.7914003751093,462.5,462.5
2025-01-13 15:00:00,132.45,2965.960529004951,462.5,462.5
2025-01-13 16:00:00,150.12,2967.2418728047137,462.5,462.5
2025-01-13 17:00:00,166.87,2968.813521059109,462.5,462.5
2025-01-13 18:00:00,167.71,2968.963678535644,462.5,462.5
2025-01-13 19:00:00,159.33,2966.6912953907527,462.5,462.5
2025-01-13 20:00:00,143.1,2968.062733676436,462.5,462.5
2025-01-13 21:00:00,129.59,2969.6443924292685,462.5,462.5
2025-01-13 22:00:00,125.11,2969.8946548901595,462.5,462.5
2025-01-13 23:00:00,118.35,2971.9668280663377,462.5,462.5
2025-01-14 00:00:00,124.97,2972.5174054802983,462.5,462.5
2025-01-14 01:00:00,121.69,2973.698644295704,462.5,462.5
2025-01-14 02:00:00,118.92,2971.7465971007537,462.5,462.5
2025-01-14 03:00:00,117.3,2972.116985542872,462.5,462.5
2025-01-14 04:00:00,117.79,2973.0980143895654,462.5,462.5
2025-01-14 05:00:00,123.81,2969.36409847307,462.5,462.5
2025-01-14 06:00:00,137.96,2968.5632585982185,462.5,462.5
2025-01-14 07:00:00,166.57,2968.9436575387726,462.5,462.5
2025-01-14 08:00:00,184.22,2972.066933050694,462.5,462.5
2025-01-14 09:00:00,167.96,2971.9968595616447,462.5,462.5
2025-01-14 10:00:00,143.47,2974.94995660016,462.5,462.5
2025-01-14 11:00:00,133.8,2970.7155157618818,462.5,462.5
2025-01-14 12:00:00,128.33,2968.74344757006,462.5,462.5
2025-01-14 13:00:00,129.21,2968.74344757006,462.5,462.5
2025-01-14 14:00:00,131.94,2967.842502710852,462.5,462.5
2025-01-14 15:00:00,156.01,2967.7123662311888,462.5,462.5
2025-01-14 16:00:00,164.35,2967.792450218674,462.5,462.5
2025-01-14 17:00:00,170.34,2967.392030281248,462.5,462.5
2025-01-14 18:00:00,190.2,2968.3930801248125,462.5,462.5
2025-01-14 19:00:00,184.75,2968.863573551288,462.5,462.5
2025-01-14 20:00:00,172.18,2969.814570902674,462.5,462.5
2025-01-14 21:00:00,150.23,2971.196019686793,462.5,462.5
2025-01-14 22:00:00,137.94,2971.5463871320403,462.5,462.5
2025-01-14 23:00:00,131.61,2971.9968595616447,462.5,462.5
2025-01-15 00:00:00,123.19,2971.115935699308,462.5,462.5
2025-01-15 01:00:00,118.11,2971.646492116397,462.5,462.5
2025-01-15 02:00:00,115.07,2972.597489467784,462.5,462.5
2025-01-15 03:00:00,112.96,2972.297174514714,462.5,462.5
2025-01-15 04:00:00,115.79,2971.7165656054462,462.5,462.5
2025-01-15 05:00:00,123.43,2971.165988191486,462.5,462.5
2025-01-15 06:00:00,151.61,2970.415200808813,462.5,462.5
2025-01-15 07:00:00,191.22,2970.4652533009908,462.5,462.5
2025-01-15 08:00:00,222.62,2969.2139409965357,462.5,462.5
2025-01-15 09:00:00,210.3,2969.614360933961,462.5,462.5
2025-01-15 10:00:00,178.09,2968.012681184258,462.5,462.5
2025-01-15 11:00:00,168.43,2967.842502710852,462.5,462.5
2025-01-15 12:00:00,162.5,2967.762418723367,462.5,462.5
2025-01-15 13:00:00,159.91,2967.6422927421395,462.5,462.5
2025-01-15 14:00:00,169.38,2966.411001434555,462.5,462.5
2025-01-15 15:00:00,174.91,2963.107536950792,462.5,462.5
2025-01-15 16:00:00,175.1,2962.386781063426,462.5,462.5
2025-01-15 17:00:00,209.63,2964.208691778713,462.5,462.5
2025-01-15 18:00:00,213.2,2964.088565797485,462.5,462.5
2025-01-15 19:00:00,201.85,2965.189720625406,462.5,462.5
2025-01-15 20:00:00,176.2,2966.2608439580204,462.5,462.5
2025-01-15 21:00:00,159.97,2966.240822961149,462.5,462.5
2025-01-15 22:00:00,141.54,2966.290875453327,462.5,462.5
2025-01-15 23:00:00,134.8,2965.9104765127727,462.5,462.5
2025-01-16 00:00:00,128.81,2965.610161559703,462.5,462.5
2025-01-16 01:00:00,123.35,2966.19077046897,462.5,462.5
2025-01-16 02:00:00,120.01,2966.561158911089,462.5,462.5
2025-01-16 03:00:00,118.63,2965.309846606634,462.5,462.5
2025-01-16 04:00:00,119.93,2964.058534302178,462.5,462.5
2025-01-16 05:00:00,129.56,2964.0084818100004,462.5,462.5
2025-01-16 06:00:00,145.59,2962.887305985208,462.5,462.5
2025-01-16 07:00:00,192.73,2961.6860461729307,462.5,462.5
2025-01-16 08:00:00,216.34,2960.985311282436,462.5,462.5
2025-01-16 09:00:00,187.2,2963.45790439604,462.5,462.5
2025-01-16 10:00:00,162.26,2963.307746919505,462.5,462.5
2025-01-16 11:00:00,142.64,2963.558009380396,462.5,462.5
2025-01-16 12:00:00,138.22,2965.339878101941,462.5,462.5
2025-01-16 13:00:00,137.39,2962.7371485086733,462.5,462.5
2025-01-16 14:00:00,144.29,2963.588040875703,462.5,462.5
2025-01-16 15:00:00,163.19,2962.056434615049,462.5,462.5
2025-01-16 16:00:00,188.97,2962.5069070446534,462.5,462.5
2025-01-16 17:00:00,207.02,2964.7092167004957,462.5,462.5
2025-01-16 18:00:00,208.71,2964.9895106566933,462.5,462.5
2025-01-16 19:00:00,192.51,2966.19077046897,462.5,462.5
2025-01-16 20:00:00,153.04,2964.9895106566933,462.5,462.5
2025-01-16 21:00:00,139.9,2965.039563148872,462.5,462.5
2025-01-16 22:00:00,134.01,2965.9905605002577,462.5,462.5
2025-01-16 23:00:00,127.5,2965.610161559703,462.5,462.5
2025-01-17 00:00:00,123.94,2966.290875453327,462.5,462.5
2025-01-17 01:00:00,120.09,2966.9916103438222,462.5,462.5
2025-01-17 02:00:00,117.7,2968.5632585982185,462.5,462.5
2025-01-17 03:00:00,116.14,2967.261893801585,462.5,462.5
2025-01-17 04:00:00,117.64,2967.812471215545,462.5,462.5
2025-01-17 05:00:00,123.61,2966.0906654846144,462.5,462.5
2025-01-17 06:00:00,140.17,2962.4568545524758,462.5,462.5
2025-01-17 07:00:00,176.65,2960.8051223105936,462.5,462.5
2025-01-17 08:00:00,206.77,2962.3066970759405,462.5,462.5
2025-01-17 09:00:00,176.07,2966.9615788485157,462.5,462.5
2025-01-17 10:00:00,149.68,2968.963678535644,462.5,462.5
2025-01-17 11:00:00,135.39,2967.812471215545,462.5,462.5
2025-01-17 12:00:00,128.21,2964.9594791613863,462.5,462.5
2025-01-17 13:00:00,126.36,2965.890455515901,462.5,462.5
2025-01-17 14:00:00,131.19,2965.810371528416,462.5,462.5
2025-01-17 15:00:00,146.07,2966.7613688798024,462.5,462.5
2025-01-17 16:00:00,169.69,2967.361998785941,462.5,462.5
2025-01-17 17:00:00,177.14,2966.7113163876243,462.5,462.5
2025-01-17 18:00:00,190.93,2966.160738973664,462.5,462.5
2025-01-17 19:00:00,178.64,2967.41205127812,462.5,462.5
2025-01-17 20:00:00,156.11,2967.692345234317,462.5,462.5
2025-01-17 21:00:00,142.75,2970.395179811941,462.5,462.5
2025-01-17 22:00:00,140.0,2970.8156207462384,462.5,462.5
2025-01-17 23:00:00,133.51,2970.7655682540603,462.5,462.5
2025-01-18 00:00:00,128.92,2970.895704733724,462.5,462.5
2025-01-18 01:00:00,124.2,2969.113836012179,462.5,462.5
2025-01-18 02:00:00,121.77,2970.8456522415454,462.5,462.5
2025-01-18 03:00:00,119.37,2970.6954947650106,462.5,462.5
