datetime,end_user_consumption_MWh,total_production_MWh,total_consumption_MWh,net_outflow_MWh,grid_feed_in_MWh,import_AT_MWh,import_DE_MWh,import_FR_MWh,import_IT_MWh,export_AT_MWh,export_DE_MWh,export_FR_MWh,export_IT_MWh,total_import_MWh,total_export_MWh,net_import_MWh,end_user_consumption_MW_avg,total_production_MW_avg,total_consumption_MW_avg,total_import_MW_avg,total_export_MW_avg,net_import_MW_avg,net_import_check_MWh
2025-09-08 17:00:00,6243.624139766954,11310.89770978062,6737.913485428599,0.0,3899.556999,37.5,668.227,788.683,86.497,625.549,1796.468,816.478,2914.68,1580.907,6153.175,-4572.268,6243.624139766954,11310.89770978062,6737.913485428599,1580.907,6153.175,-4572.268,-4572.268
2025-09-08 18:00:00,6415.231914019932,11830.19933763485,6870.747818785201,0.0,4032.233999,37.0,408.918,485.25,135.343,1005.613,2607.712,858.718,1552.677,1066.511,6024.719999999999,-4958.208999999999,6415.231914019932,11830.19933763485,6870.747818785201,1066.511,6024.719999999999,-4958.208999999999,-4958.208999999999
2025-09-08 19:00:00,6352.882228884591,11986.43532405324,6832.0234587532,0.0,4071.469332,36.1,427.158,490.932,148.928,1088.772,2941.636,846.2850000000001,1379.864,1103.118,6256.557000000001,-5153.439,6352.882228884591,11986.43532405324,6832.0234587532,1103.118,6256.557000000001,-5153.439,-5153.439
2025-09-08 20:00:00,6217.327063239635,11793.73030226702,6697.5751329788,0.0,3999.652999,34.3,492.144,424.22,128.086,980.164,2844.816,870.5740000000001,1477.44,1078.75,6172.994,-5094.244,6217.327063239635,11793.73030226702,6697.5751329788,1078.75,6172.994,-5094.244,-5094.244
2025-09-08 21:00:00,5822.078610440934,11334.471372,6279.103227834001,0.0,3689.912999,35.2,430.997,527.169,80.98,956.724,2846.337,754.625,1570.871,1074.346,6128.557000000001,-5054.211,5822.078610440934,11334.471372,6279.103227834001,1074.346,6128.557000000001,-5054.211,-5054.211000000001
2025-09-08 22:00:00,5532.588787178162,10764.489394,5992.196405061999,0.0,3537.970695243,34.2,418.369,747.935,72.584,937.177,2592.329,725.573,1787.868,1273.088,6042.947,-4769.859,5532.588787178162,10764.489394,5992.196405061999,1273.088,6042.947,-4769.859,-4769.859
2025-09-08 23:00:00,5115.460334380051,9474.720981,5563.964941501,0.0,3334.080482499,34.8,471.8,1018.772,71.422,1119.318,2429.177,458.467,1498.49,1596.794,5505.452,-3908.658,5115.460334380051,9474.720981,5563.964941501,1596.794,5505.452,-3908.658,-3908.6580000000004
2025-09-09 00:00:00,4882.509983793857,7587.263301,5290.196521493999,0.0,3213.398148506,36.6,608.884,1370.23,60.026,876.338,1831.839,139.287,1523.045,2075.74,4370.509,-2294.769,4882.509983793857,7587.263301,5290.196521493999,2075.74,4370.509,-2294.769,-2294.7690000000002
2025-09-09 01:00:00,4707.294883344066,6409.258289000001,5114.418230500999,0.0,3135.329149499,36.2,581.188,1688.62,77.77699999999999,842.773,1648.206,2.841,1182.429,2383.785,3676.249,-1292.464,4707.294883344066,6409.258289000001,5114.418230500999,2383.785,3676.249,-1292.464,-1292.464
2025-09-09 02:00:00,4584.258450892856,5901.82493,5044.8230254338,0.0,3141.9531475662,35.6,666.0999999999999,1934.235,79.465,722.636,1630.596,0.0,1217.003,2715.4,3570.235,-854.8349999999999,4584.258450892856,5901.82493,5044.8230254338,2715.4,3570.235,-854.8349999999999,-854.835
2025-09-09 03:00:00,4435.627048415925,5962.376631,4816.890801494001,0.0,2897.967692376,35.1,570.095,1732.67,90.79,771.781,1663.713,0.107,1136.756,2428.655,3572.357,-1143.702,4435.627048415925,5962.376631,4816.890801494001,2428.655,3572.357,-1143.702,-1143.7019999999998
2025-09-09 04:00:00,4360.207310439407,6249.059057,4746.081212740399,0.0,2766.757662,33.8,567.715,1624.27,80.363,922.214,1779.852,1.971,1103.263,2306.148,3807.3,-1501.152,4360.207310439407,6249.059057,4746.081212740399,2306.148,3807.3,-1501.152,-1501.152
2025-09-09 05:00:00,4755.22403470973,8191.065429999999,5164.322940399123,0.0,2995.152643944479,33.9,394.36,1057.018,124.57,1267.019,2319.502,161.89,885.998,1609.848,4634.409,-3024.561,4755.22403470973,8191.065429999999,5164.322940399123,1609.848,4634.409,-3024.561,-3024.5609999999997
2025-09-09 06:00:00,5630.694647479873,10327.061832,6068.964502078079,0.0,3616.054978212521,37.5,428.255,682.624,92.515,1117.853,2791.774,606.457,979.743,1240.894,5495.827,-4254.933,5630.694647479873,10327.061832,6068.964502078079,1240.894,5495.827,-4254.933,-4254.933
2025-09-09 07:00:00,6537.583361075859,11149.591725,6988.238252844964,0.0,4373.362330034637,33.9,484.825,783.242,60.858,522.777,2256.984,875.33,1867.651,1362.825,5522.742,-4159.917,6537.583361075859,11149.591725,6988.238252844964,1362.825,5522.742,-4159.917,-4159.917
