datetime,price_EUR_per_MWh,load_MW,production_MW,import_MW,export_MW,net_balance_MW,deficit_MW,surplus_MW,action,pump_MWh,generation_MWh,storage_MWh,cost_EUR,revenue_EUR,profit_EUR,deficit_after_storage_MW,surplus_after_storage_MW,import_reduction_MWh,surplus_absorbed_MWh,low_threshold,high_threshold,scenario
2025-01-04 12:00:00,124.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,881965.0,112437.0,0.0,-112437.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 13:00:00,126.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,882694.0,113481.0,0.0,-113481.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 14:00:00,128.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,883423.0,115623.0,0.0,-115623.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 15:00:00,136.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,884152.0,123156.0,0.0,-123156.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 16:00:00,144.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,884881.0,129833.99999999999,0.0,-129833.99999999999,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 17:00:00,152.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,885610.0,137358.0,0.0,-137358.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 18:00:00,147.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,886339.0,132984.0,0.0,-132984.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 19:00:00,140.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,887068.0,126738.0,0.0,-126738.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 20:00:00,134.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,887797.0,120950.99999999999,0.0,-120950.99999999999,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 21:00:00,126.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,888526.0,114255.0,0.0,-114255.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 22:00:00,126.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,889255.0,113490.0,0.0,-113490.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 23:00:00,119.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,889984.0,107289.0,0.0,-107289.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 00:00:00,119.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,890713.0,107460.0,0.0,-107460.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 01:00:00,114.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,891442.0,102699.0,0.0,-102699.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 02:00:00,110.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,892171.0,99063.0,0.0,-99063.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 03:00:00,105.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,892900.0,95247.0,0.0,-95247.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 04:00:00,107.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,893629.0,96777.0,0.0,-96777.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 05:00:00,115.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,894358.0,103590.0,0.0,-103590.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 06:00:00,119.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,895087.0,107946.0,0.0,-107946.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 07:00:00,124.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,895816.0,111798.0,0.0,-111798.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 08:00:00,127.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,896545.0,115020.0,0.0,-115020.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 09:00:00,129.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,897274.0,116199.00000000001,0.0,-116199.00000000001,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 10:00:00,128.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,898003.0,115218.00000000001,0.0,-115218.00000000001,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 11:00:00,126.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,898732.0,114093.0,0.0,-114093.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 12:00:00,126.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,899461.0,113490.0,0.0,-113490.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-05 13:00:00,126.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,900190.0,113724.0,0.0,-113724.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
